Date,Time (UTC),User,Utterance
2022-07-16,15:58:21,churomuuu,POGCRAZY IS THIS THE VTUBER MODEL
2022-07-16,15:58:21,kitterene,BogU stream after the stream
2022-07-16,15:58:21,chery24x,hello daph daphO
2022-07-16,15:58:22,ssaikoku,daphSus
2022-07-16,15:58:22,Cchreys,you’re going to bust go to sleep daphSlep
2022-07-16,15:58:25,다프니,daphSus
2022-07-16,15:58:26,abandonedtamagotchi,daphSit
2022-07-16,15:58:26,SkinnyDotK,"let me be clear, stream 2 BogU"
2022-07-16,15:58:27,lejussi,daphSus
2022-07-16,15:58:27,TheBroJose,gamers
2022-07-16,15:58:28,Yosen19,peepoArrive
2022-07-16,15:58:30,Dashwastaken,daphW 🤝 daphSit
2022-07-16,15:58:32,Youoh98,daphSus
2022-07-16,15:58:32,jhkyeong,daphSus I see an imposter
2022-07-16,15:58:33,Xblacknightangelx,daphSit the OG vtuber
2022-07-16,15:58:34,Stikz115,"@noemii, you say you're gonna leave LULW"
2022-07-16,15:58:34,RazKurdt,Stream 2
2022-07-16,15:58:34,offbeatserenity,daphSit
2022-07-16,15:58:35,StreamElements 39daph is now live! Streaming Art,39daph is now live! Streaming Art: GIGA (art) STREAM 2
2022-07-16,15:58:37,indeboss,daph started a 2nd stream to draw amogus daphSus HYPERCLAP
2022-07-16,15:58:38,nora_1211,POGCRAZY subathon time
2022-07-16,15:58:39,KiNG_wzrd47,daphW 🤝 daphSit
2022-07-16,15:58:41,TheBroJose,daphSit
2022-07-16,15:58:42,Yosen19,vtube? POGGERS
2022-07-16,15:58:42,dumbmb,he looks like psyduck daphCustomerService
2022-07-16,15:58:43,Noblebug,daphW daphSit daphShirt
2022-07-16,15:58:46,kitterene,daphSit
2022-07-16,15:58:46,Ad_Trip,daphSit
2022-07-16,15:58:47,Razinmaru74,WICKED
2022-07-16,15:58:48,KhalIidinho,daphSit im tiwed
2022-07-16,15:58:48,Sapuchi,Hello peepoBlush
2022-07-16,15:58:48,xXx_bellend_xXx,Jammies
2022-07-16,15:58:48,drownfeeling,daphJR daphJR daphJR
2022-07-16,15:58:48,BoneWheelSkeleton,wtf double stream is this is a SUBATHON?! POGCRAZY
2022-07-16,15:58:49,chery24x,why is it looking at me like that
2022-07-16,15:58:50,haiiena ,:o
2022-07-16,15:58:50,berlph,wowow
2022-07-16,15:58:50,helltaker,24HOUR POGCRAZY
2022-07-16,15:58:51,t0rt1ll3r4,vtuber transformation?
2022-07-16,15:58:52,aran_k7,is this your virtual tuber
2022-07-16,15:58:53,Xblacknightangelx,indeboss daphHug
2022-07-16,15:58:54,joojuu_,daphHey
2022-07-16,15:58:54,ssaikoku,Stare
2022-07-16,15:58:55,Cchreys,10 year sub badge BogU
2022-07-16,15:58:55,Syx_Ralv,yion asset?
2022-07-16,15:58:57,bureenitos,POGCRAZY day stream
2022-07-16,15:59:02,YakiCL,T W O streams POGCRAZY
2022-07-16,15:59:02,MadMonki_,hey daphHey
2022-07-16,15:59:05,Taiguh96,Buh
2022-07-16,15:59:06,unfunnypolice,Pog 2nd strim??
2022-07-16,15:59:06,beatinginsilence,hii
2022-07-16,15:59:07,hijabininjaa,is this a rare day stream
2022-07-16,15:59:07,05hs,BogU
2022-07-16,15:59:07,Quixu,daphSit
2022-07-16,15:59:08,Yosen19,pepeD
2022-07-16,15:59:09,AndOneMan,non-flash stream
2022-07-16,15:59:09,daniyal34522,SECRET STREAM POGCRAZY
2022-07-16,15:59:10,leonorf8,daphW daphShirt  daphSit
2022-07-16,15:59:10,Stefon_uwu Stefon_uwu subscribed at Tier 1. They've subscribed for 9 months! hi daph big fan daphHide hi chat ,Stefon_uwu subscribed at Tier 1. They've subscribed for 9 months! hi daph big fan daphHide hi chat :)
2022-07-16,15:59:12,dhorifish,daphHey
2022-07-16,15:59:12,DAdaRiiiCH,poggies peepoClap
2022-07-16,15:59:12,Aztekkno,Did you wash your ass?
2022-07-16,15:59:12,Stikz115,PepegeHmm
2022-07-16,15:59:13,starbornultra,WOW
2022-07-16,15:59:13,crowfa23,hi daph
2022-07-16,15:59:13,kerokerobee_,12hr stream? POGCRAZY
2022-07-16,15:59:13,crohell,she back on?
2022-07-16,15:59:14,pollywg,wwww
2022-07-16,15:59:14,Intercrus,rare stream
2022-07-16,15:59:14,gabsk,daphW daphShirt
2022-07-16,15:59:15,manwife_,Double stream daphFlushed
2022-07-16,15:59:15,k_a_i_____,BogU
2022-07-16,15:59:16,indeboss,Xblacknightangelx daphHug
2022-07-16,15:59:17,wil_liam7,pussa 2
2022-07-16,15:59:18,gtds11,omg
2022-07-16,15:59:18,crohell,what cant sleep?
2022-07-16,15:59:19,k_a_i_____,more steam BogU
2022-07-16,15:59:19,あよみつや,daphHey YO
2022-07-16,15:59:19,joojuu_,duck in watermelon swater?
2022-07-16,15:59:19,Bow234,how is amersterdam
2022-07-16,15:59:20,uujin127,daphHey
2022-07-16,15:59:20,marigreene,ariHi  dapknee
2022-07-16,15:59:20,eibriyo,hi chat
2022-07-16,15:59:22,helltaker,daphW daphShirt daphSit
2022-07-16,15:59:22,Yosen19,OMEGALUL DuckerZ
2022-07-16,15:59:23,eyereen,lied PogO
2022-07-16,15:59:23,05hs,tier 3 sub only stream BogU
2022-07-16,15:59:24,gyucor,???
2022-07-16,15:59:25,01lovecity,daphHey
2022-07-16,15:59:25,mauvemotif,<3
2022-07-16,15:59:27,KiNG_wzrd47,daphW daphShirt
2022-07-16,15:59:28,あよみつや,WHAT DOES GIGA MEAN
2022-07-16,15:59:28,starflames,club penguin
2022-07-16,15:59:28,Puresalty98,Oce chatters pepeW
2022-07-16,15:59:28,StreamElements I post on my discord when I go live and stuff https,I post on my discord when I go live and stuff: https://discord.gg/39daph
2022-07-16,15:59:29,zaramari,daphSit
2022-07-16,15:59:30,leevilbirdy,add sad eyebrows
2022-07-16,15:59:31,NMGIX,we getting prepared for that fleshtuber stream BogU
2022-07-16,15:59:31,92tyler,daphCheer
2022-07-16,15:59:32,Noblebug,nymnOkey nymnOkey nymnOkey
2022-07-16,15:59:32,Quixu,Quixu subscribed at Tier 1. They've subscribed for 14 months! daphArt yeah that's pretty good
2022-07-16,15:59:34,WhiteKuma,cant sleep steam  BogU
2022-07-16,15:59:34,Excalibur724,we back bois daphHey
2022-07-16,15:59:36,Mrjames96,daphHey
2022-07-16,15:59:37,mini_egggs,mini_egggs subscribed with Prime. They've subscribed for 18 months! 
2022-07-16,15:59:37,Xblacknightangelx,GIGADAPH
2022-07-16,15:59:38,Stikz115,pepeW
2022-07-16,15:59:38,05hs,GIGADAPH
2022-07-16,15:59:38,joojuu_,pepeW
2022-07-16,15:59:38,k_a_i_____,pepeW giga
2022-07-16,15:59:38,theDweeboss,daphHey
2022-07-16,15:59:39,leonorf8,pepeW
2022-07-16,15:59:39,jaytourist,GIGA BALLS
2022-07-16,15:59:39,다프니,GIGADAPH
2022-07-16,15:59:39,Yosen19,giga pepeW
2022-07-16,15:59:39,d1nkdonk ,:)
2022-07-16,15:59:40,MussleMorph,secret stream BogShamb
2022-07-16,15:59:41,39Chanel,BogU another stream????
2022-07-16,15:59:41,KiNG_wzrd47,daphPain GIGA
2022-07-16,15:59:41,Jacksbabypig,moon2W
2022-07-16,15:59:41,avaloin,pepeW giga
2022-07-16,15:59:41,jhkyeong,Very well drawn
2022-07-16,15:59:41,Ad_Trip,SHITTERS
2022-07-16,15:59:41,jayyo______,too smart
2022-07-16,15:59:41,teainfusion,WHERE IS V-TUBER TAG DANTIES DANTIES
2022-07-16,15:59:42,lovedluke,ebic
2022-07-16,15:59:43,thewiserparadox_,buh
2022-07-16,15:59:43,veixyn,pepeW stream 2
2022-07-16,15:59:43,WhiteKuma,pepeW
2022-07-16,15:59:45,RazKurdt ,:)
2022-07-16,15:59:45,john_username,wtf
2022-07-16,15:59:45,Yosen19,SHITTERS
2022-07-16,15:59:45,nii2wo,HEYYY
2022-07-16,15:59:46,plankke_,is this your vtube model
2022-07-16,15:59:46,itsRamzilla,yeah but what does giga mean?
2022-07-16,15:59:46,lejussi,GIGADAPH
2022-07-16,15:59:47,Stikz115,GIGA DUCK OF HELL pepeW
2022-07-16,15:59:47,marrgrave,this stream time is not guam friendly
2022-07-16,15:59:47,jhardensbeardd,buh
2022-07-16,15:59:47,jayyo______,w streamer so smart
2022-07-16,15:59:47,02wookk,pepeW
2022-07-16,15:59:48,Alakronn,GIGACHAD BatChest
2022-07-16,15:59:49,crowfa23,Giga is giga
2022-07-16,15:59:49,d1nkdonk,GIGADAPH
2022-07-16,15:59:50,kazerec,daphHey
2022-07-16,15:59:50,ComplexChampion,our GIGA streamer!!
2022-07-16,15:59:51,01lovecity,GIGADAPH
2022-07-16,15:59:52,randziiin,KEKW
2022-07-16,15:59:52,y1keru,daphHey
2022-07-16,15:59:52,omgitsjahh,Ayyyy daphQuack
2022-07-16,15:59:52,mashudesuu,CANT SLEEP STREAM?
2022-07-16,15:59:52,RazKurdt,GIGA
2022-07-16,15:59:55,splenders406,hasHmm two streams... but how?
2022-07-16,15:59:57,nitus_1,Yooooo
2022-07-16,15:59:57,FireNova3448,Normal Stream hours PotFriend PotFriend
2022-07-16,15:59:57,veixyn,!faq
2022-07-16,15:59:57,StreamElements LEARN TO READ DankG https,LEARN TO READ DankG https://bit.ly/3aHRlhx
2022-07-16,15:59:58,StreamElements POSTURE CHECK,POSTURE CHECK: SIT UP STRAIGHT
2022-07-16,15:59:58,pachimiri,BogShamb BONUS
2022-07-16,15:59:58,TheBanMagnet69,HUH
2022-07-16,15:59:59,ashiael,pepeW another strim???
2022-07-16,15:59:59,Yosen19,peepoArt
2022-07-16,15:59:59,marigreene,GIGA
2022-07-16,16:00:01,leningrab,??????? tf are u doing here
2022-07-16,16:00:01,theDweeboss,Sleep is for the week
2022-07-16,16:00:02,lancenophp,didnt asked + csgo is on
2022-07-16,16:00:02,boppasx3,POGCRAZY stream two
2022-07-16,16:00:03,dumbmb,it looks scary T_T
2022-07-16,16:00:04,cyberp1ss,weeeeeeeeeee
2022-07-16,16:00:04,05hs,AYAYA
2022-07-16,16:00:05,tuskrr,BogU
2022-07-16,16:00:06,Twankiez1992,pepeW ?
2022-07-16,16:00:07,im_redpanda,DAP
2022-07-16,16:00:07,nathcheng,GIGA BONUS STREAM
2022-07-16,16:00:07,poorslob,POGCRAZY
2022-07-16,16:00:07,meowmix55,another strim??
2022-07-16,16:00:08,02wookk,BogU vtuber
2022-07-16,16:00:09,asphyxia_ow,asphyxia_ow subscribed at Tier 1. They've subscribed for 23 months! GIGA SUB OFHELL
2022-07-16,16:00:09,rutupatil9821,damn u really do do degen hours
2022-07-16,16:00:10,Yosen19,POGGERS
2022-07-16,16:00:10,tuskrr,daphW
2022-07-16,16:00:10,slayyytr,daph
2022-07-16,16:00:11,MrSoloDoughLowww,Wait a minute
2022-07-16,16:00:11,Twankiez1992,pepeW I just went to bed...
2022-07-16,16:00:11,cosmos_reaves,SHITTERS
2022-07-16,16:00:11,bluemoon491,another stream PepegeHmm
2022-07-16,16:00:12,aran_k7,Jammies
2022-07-16,16:00:12,rangerberry,VisLaud GIGA STREAM
2022-07-16,16:00:12,k_a_i_____,pepeW strim 2
2022-07-16,16:00:13,joojuu_,BogU
2022-07-16,16:00:13,unfunnypolice,BogU
2022-07-16,16:00:13,Coffebara,Jammies
2022-07-16,16:00:13,TheyCallMeZZman,cool
2022-07-16,16:00:14,churomuuu,POGCRAZY VTUBER COLLAB TIME
2022-07-16,16:00:14,Rird_,yo
2022-07-16,16:00:14,f3mb0yx,oal
2022-07-16,16:00:14,abandonedtamagotchi,BogU transform to duck
2022-07-16,16:00:15,Dricera,STREAM 2 BogU
2022-07-16,16:00:16,pixel_hound,pixel_hound subscribed at Tier 1. They've subscribed for 10 months! 
2022-07-16,16:00:16,Mendayen,did you do the model yourself?
2022-07-16,16:00:16,bluemoon491,BogU
2022-07-16,16:00:17,39Chanel,BogU
2022-07-16,16:00:17,nocttwo,holyyyy
2022-07-16,16:00:17,MadMonki_,POGCRAZY
2022-07-16,16:00:17,Scarletyy,POGCRAZY secret stream
2022-07-16,16:00:17,gabsk,daphW daphSit daphShirt
2022-07-16,16:00:18,rosemiruku,Jammies
2022-07-16,16:00:18,leonorf8,BogU V-daph
2022-07-16,16:00:19,improperman,BogU
2022-07-16,16:00:19,nana_charles_jim,BogU
2022-07-16,16:00:20,jellyfishyshock,So cute lol
2022-07-16,16:00:20,PopuraTTT,daphCheer sleepless night daphCheer
2022-07-16,16:00:21,05hs,Jammies
2022-07-16,16:00:23,eyereen,wait thats so cute
2022-07-16,16:00:23,joojuu_,watermelon sweater PauseChamp
2022-07-16,16:00:23,collasped_lung,hoiii
2022-07-16,16:00:23,chery24x,BogU
2022-07-16,16:00:24,K3lp_Juice,Jammies
2022-07-16,16:00:24,Coffebara,POGGERS VEETUBAH
2022-07-16,16:00:26,02wookk,VietNaMeseManWavingHisGun back to bed
2022-07-16,16:00:26,05hs,imagine sleeping
2022-07-16,16:00:26,lostwig,HOLYYYY daphO
2022-07-16,16:00:27,MrSoloDoughLowww,This is what caffeine does boys take notes
2022-07-16,16:00:27,ShunnIsNormel,wtf rare live
2022-07-16,16:00:27,Wonho_Simp,Omg is this a subathon?
2022-07-16,16:00:27,Twankiez1992,pepeW you woke me up with youir loud drawingr...
2022-07-16,16:00:28,whor3hey,whor3hey subscribed with Prime. They've subscribed for 6 months! Woop woop vtubers!
2022-07-16,16:00:30,k_a_i_____,pepeW
2022-07-16,16:00:30,bythonbicks,POGCRAZY SECRET STREAM
2022-07-16,16:00:30,veixyn,!commands
2022-07-16,16:00:30,griefter7,WHAT IS THIS
2022-07-16,16:00:30,"StreamElements @veixyn, You can find a list of all Commands here https","@veixyn, You can find a list of all Commands here https://StreamElements.com/39daph/commands"
2022-07-16,16:00:31,uujin127,@39daph would u ever do art feedback stream?
2022-07-16,16:00:31,leevilbirdy,daphJR
2022-07-16,16:00:32,BoneWheelSkeleton,This isn't a busty anime waifu wtf WeirdChamp
2022-07-16,16:00:33,PopuraTTT,PopuraTTT subscribed at Tier 1. They've subscribed for 8 months! daphCheer daphCheer
2022-07-16,16:00:33,Yosen19,pepeD
2022-07-16,16:00:33,Stikz115,NODDERS who cares about bed anymore
2022-07-16,16:00:34,KouMatsuoka,who dis
2022-07-16,16:00:34,MrSoloDoughLowww,Giga
2022-07-16,16:00:35,insomnia_69,24 hr stream BogU
2022-07-16,16:00:35,kerygenxo,winnie the pooh
2022-07-16,16:00:36,unfunnypolice,NOPERS no bed when daph strim
2022-07-16,16:00:36,dumbmb,WINNIE THE POOH LULW
2022-07-16,16:00:36,turtledoves,moon2GIGA
2022-07-16,16:00:37,02wookk,daphCorpa sens shirt?
2022-07-16,16:00:37,MintJoint,moon2GIGA
2022-07-16,16:00:39,DjAndreSizzle,subathon POGCRAZY
2022-07-16,16:00:39,Ad_Trip,PogO YELLOW SHIRT OR RIOT
2022-07-16,16:00:39,elliebellie529,Ayo?
2022-07-16,16:00:40,kitterene,daphJR
2022-07-16,16:00:41,01lovecity,Jammies
2022-07-16,16:00:41,Emmosicko,pepeD late night stream
2022-07-16,16:00:42,roadboy101,How are you awake?
2022-07-16,16:00:42,jodd123,daphSit
2022-07-16,16:00:43,Stikz115,FeelsGoodMan its midnight here
2022-07-16,16:00:43,Noblebug,daphJR HahaSleep daphJR
2022-07-16,16:00:43,bluemoon491,a watermelon sweater DonkHappy
2022-07-16,16:00:44,JustSatellite,JustSatellite subscribed with Prime. They've subscribed for 10 months! giga 2
2022-07-16,16:00:44,k_a_i_____,BogU new emote
2022-07-16,16:00:46,vicea,ello
2022-07-16,16:00:47,leevilbirdy,add human teeth to it
2022-07-16,16:00:47,f3mb0yx,ayayaJAM yeah pajama party
2022-07-16,16:00:48,ShunnIsNormel,flesh x v collab?? POGCRAZY
2022-07-16,16:00:48,guntferaI,why is pooh a duck now DuckerZ
2022-07-16,16:00:49,ganjajesus1,A morning Daph stream?!?!?!?!?!?!
2022-07-16,16:00:50,kitterene,christmas sweater
2022-07-16,16:00:50,casualscroob,new stream?
2022-07-16,16:00:50,b00v2,Yay daph art
2022-07-16,16:00:51,NaNdagos,wtf daphne go to sleep
2022-07-16,16:00:51,Ad_Trip,POGCRAZY GUCCI SHIRT
2022-07-16,16:00:51,nauplios187,ello
2022-07-16,16:00:51,RazKurdt,daphJR hey
2022-07-16,16:00:52,cherubism,he looks like winnie the pooh but duck
2022-07-16,16:00:52,wil_liam7,daphSit
2022-07-16,16:00:52,turtledoves,@JustSatellite pussy 2
2022-07-16,16:00:52,Duanotic,daphSit
2022-07-16,16:00:54,SecretsMimi,daphHey
2022-07-16,16:00:54,Aufinator,yoooooooo
2022-07-16,16:00:54,freeman7833,!time
2022-07-16,16:00:55,speedpandy,daphW daphW daphW daphLook
2022-07-16,16:00:55,Fossabot @freeman7833 it is 0900,@freeman7833 it is 09:00:55 AM (PDT) VeryPog
2022-07-16,16:00:55,Scarletyy,Winnie the pooh art POGCRAZY
2022-07-16,16:00:56,Stikz115,LULW
2022-07-16,16:00:56,mergenaug,stream again POGCRAZY
2022-07-16,16:00:56,Yosen19,widepeepoHappy so cute
2022-07-16,16:00:57,paipaya,HeyGuys
2022-07-16,16:00:57,evienus,double stream day daphCheer
2022-07-16,16:00:57,FallenHalcyon,HUH i thought you went bed
2022-07-16,16:00:58,chery24x,add white too
2022-07-16,16:00:58,Noblebug,forsenRedSonic forsenRedSonic forsenRedSonic
2022-07-16,16:00:58,jhkyeong,Watermelon duck
2022-07-16,16:00:59,다프니,looks yummy
2022-07-16,16:00:59,lostwig,daphCheer new merch ??
2022-07-16,16:00:59,joojuu_,BogU
2022-07-16,16:01:00,yamtingz,Hola
2022-07-16,16:01:00,Coffebara,POGCRAZY winnie the pooh
2022-07-16,16:01:00,NMGIX,NODDERS
2022-07-16,16:01:00,gosheunhae_,39?
2022-07-16,16:01:01,Daftpunks,daphArt peepoPaint
2022-07-16,16:01:01,pixel_hound,"is this late, or early? daphBong"
2022-07-16,16:01:01,chloegaveup,chloegaveup subscribed at Tier 1. They've subscribed for 15 months! omg strimmer live daphCheer
2022-07-16,16:01:03,bluemoon491,NODDERS
2022-07-16,16:01:03,ow_meshoulder,winnie the poo but make it duck and watermelon
2022-07-16,16:01:03,alishaa_xo,hi daph
2022-07-16,16:01:03,yamtingz,duck
2022-07-16,16:01:03,Stikz115,looks like DonkHappy
2022-07-16,16:01:04,02wookk,peepoClap nice concept
2022-07-16,16:01:04,eyereen,looks good BogU
2022-07-16,16:01:04,arachneii,peepoSit
2022-07-16,16:01:05,joojuu_,peepoClap it looks good
2022-07-16,16:01:05,sahilole,Strawberry
2022-07-16,16:01:06,Sllayz4,widepeepoHappy
2022-07-16,16:01:06,TiLLInfinity,can't sleep ? PogO
2022-07-16,16:01:07,cipherz,hi daph daphCheer
2022-07-16,16:01:07,Yosen19,🍉 DuckerZ
2022-07-16,16:01:07,01lovecity,peepoBlush
2022-07-16,16:01:07,springroIl,daphHey
2022-07-16,16:01:08,harzu_,nice strawberry shirt
2022-07-16,16:01:08,cyberp1ss,where's the subathon timer
2022-07-16,16:01:09,Duanotic,vtuber daph daphCheer
2022-07-16,16:01:09,Remi_,daphSus
2022-07-16,16:01:09,RazKurdt,oh shit he's buff
2022-07-16,16:01:10,collasped_lung,how are you awake rn
2022-07-16,16:01:11,Kuro_Kunoichi,distPls distPls distPls distPls
2022-07-16,16:01:12,Ad_Trip,that looks like a shit Gucci would sell
2022-07-16,16:01:12,highfivecooperdini,R u trollinnn
2022-07-16,16:01:13,leonorf8,widepeepoHappy cute
2022-07-16,16:01:13,vintagekimchi,DOUBLE STREAM? POGCRAZY
2022-07-16,16:01:16,sadbready,Woahhhh
2022-07-16,16:01:16,cyberp1ss,awwww
2022-07-16,16:01:16,antunya,quack
2022-07-16,16:01:17,f3mb0yx,Jammies
2022-07-16,16:01:17,rangerberry,daphCheer
2022-07-16,16:01:17,kerokerobee_,widepeepoHappy
2022-07-16,16:01:17,diseased_cheese,ello again daphHey
2022-07-16,16:01:21,Stikz115,BogU new emote?
2022-07-16,16:01:21,d1nkdonk,daphW daphLook
2022-07-16,16:01:22,LuckyDeath,"huh, how are u live already"
2022-07-16,16:01:23,y1keru,POGCRAZY
2022-07-16,16:01:23,LeMapleMoose,Hi Daph and friends daphHeart
2022-07-16,16:01:23,GuyEK5,!watchtime
2022-07-16,16:01:23,abandonedtamagotchi,KEKW
2022-07-16,16:01:24,Yosen19,OMEGALUL
2022-07-16,16:01:25,b0x_cutter,Jebaited ?
2022-07-16,16:01:25,camiiumi,my fave vtuber
2022-07-16,16:01:26,yamtingz,daphHey
2022-07-16,16:01:26,k_a_i_____,OMEGALUL
2022-07-16,16:01:26,bluemoon491,KEKW
2022-07-16,16:01:27,crystalbased,hello
2022-07-16,16:01:27,pachimiri,OMEGALUL
2022-07-16,16:01:27,KouMatsuoka,OMEGALUL
2022-07-16,16:01:27,Stikz115,LULW
2022-07-16,16:01:28,Wockkstarr,daphMoodWut TeaTime
2022-07-16,16:01:28,kerokerobee_,KEKW
2022-07-16,16:01:28,ActionsHaveConsequences_,"ActionsHaveConsequences_ subscribed at Tier 1. They've subscribed for 8 months, currently on a 8 month streak! Why are you back"
2022-07-16,16:01:29,turtledoves,ass fix ya
2022-07-16,16:01:30,projektRiA,yay more strem
2022-07-16,16:01:30,Remi_,sleeping like a normal person
2022-07-16,16:01:31,cumposer,sleeping obviously
